tokens,tags
The history and cultural significance of Denali are well-documented.,O O O O O O B-MOUNT O O
"Known for its challenging terrain, Mont Blanc is a favorite among climbers.",O O O O O B-MOUNT I-MOUNT O O O O O
Annapurna offers a stunning backdrop for photographers and nature enthusiasts.,B-MOUNT O O O O O O O O O
Mount Logan is part of a mountain range that spans several countries.,B-MOUNT I-MOUNT O O O O O O O O O O
"Known for its challenging terrain, Mount Everest is a favorite among climbers.",O O O O O B-MOUNT I-MOUNT O O O O O
The ascent of K2 requires careful preparation and skill.,O O O B-MOUNT O O O O O
Many stories have been told about the treacherous conditions on Mount Kilimanjaro.,O O O O O O O O O O B-MOUNT O
The breathtaking scenery of Annapurna attracts numerous adventurers each year.,O O O O B-MOUNT O O O O O
The history and cultural significance of Mount Kosciuszko are well-documented.,O O O O O O B-MOUNT I-MOUNT O O
"Known for its challenging terrain, Mount Rainer is a favorite among climbers.",O O O O O B-MOUNT I-MOUNT O O O O O
"Known for its challenging terrain, Mount Elbrus is a favorite among climbers.",O O O O O B-MOUNT I-MOUNT O O O O O
The history and cultural significance of Matterhorn are well-documented.,O O O O O O B-MOUNT O O
The breathtaking scenery of Table Mountain attracts numerous adventurers each year.,O O O O B-MOUNT I-MOUNT O O O O O
"Standing majestically above the surrounding landscape, Aconcagua is a sight to behold.",O O O O O O B-MOUNT O O O O O
K2 offers a stunning backdrop for photographers and nature enthusiasts.,B-MOUNT O O O O O O O O O
Table Mountain offers a stunning backdrop for photographers and nature enthusiasts.,B-MOUNT I-MOUNT O O O O O O O O O
Cho Oyu is part of a mountain range that spans several countries.,B-MOUNT I-MOUNT O O O O O O O O O O
"Standing majestically above the surrounding landscape, Mount Kilimanjaro is a sight to behold.",O O O O O O B-MOUNT I-MOUNT O O O O O
The breathtaking scenery of Mount Kosciuszko attracts numerous adventurers each year.,O O O O B-MOUNT I-MOUNT O O O O O
The breathtaking scenery of Mont Blanc attracts numerous adventurers each year.,O O O O B-MOUNT I-MOUNT O O O O O
